hour,cars,avgspeed,maxspeed,minspeed
00,136230,42.0,199.56,0.16
01,73466,42.0,197.95,0.15
02,39112,44.0,201.17,0.16
03,27540,46.0,202.78,0.16
04,24284,49.0,159.33,0.15
05,36820,53.0,175.42,0.18
06,106370,50.0,170.59,0.15
07,283324,38.0,193.12,0.12
08,473582,33.0,263.93,0.1
09,399336,36.0,186.68,0.09
10,341296,38.0,170.59,0.08
11,358870,38.0,181.86,0.13
12,379606,39.0,183.47,0.12
13,335392,40.0,204.39,0.1
14,348986,40.0,238.18,0.13
15,420472,38.0,226.92,0.15
16,487576,36.0,157.72,0.1
17,577430,34.0,177.03,0.1
18,627986,34.0,197.95,0.11
19,538598,36.0,164.15,0.07
20,355904,39.0,204.39,0.12
21,217268,42.0,173.81,0.12
22,187484,42.0,185.07,0.15
23,188278,42.0,346.01,0.15
